black, e74117f1, 1627, 0
kedro, d3218bd8, 2387, 1
autogluon, 30d16970, 1890, 2
PaddleNLP, 9192cd80, 4243, 1
clusterfuzz, 88570c94, 2447, 0
yapf, 7d623455, 1304, 0
dgl, 2c489fad, 3368, 59
pytorch3d, 8abbe22f, 1101, 104
textual, 75260996, 6916, 146
langflow, 9bc9d9a7, 4726, 267
dvc, 17f0c0de, 8953, 462
faker, 4b4e2684, 3401, 788
pyodide, ac68a305, 2897, 948
isort, 7a98fd09, 4102, 1620
thumbor, 3d5fbe93, 2400, 2161
buildbot, 8dc8ccea, 24021, 2411
flask, 77237093, 5164, 4195
celery, 2da41c93, 12292, 9904
magenta, a2490ef5, 1421, 84
rasa, c739dfbf, 32280, 8619
